variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-03 14:00:00+00:00,4.7286797,7.6131124,101445.51,286.73862,0.09023228
2015-01-03 15:00:00+00:00,3.6760345,6.0560308,101390.93,286.6534,0.09021915
2015-01-03 16:00:00+00:00,3.736775,5.9748144,101294.42,286.53656,0.09021915
2015-01-03 17:00:00+00:00,3.5091383,5.708948,101202.125,286.37943,0.09033473
2015-01-03 18:00:00+00:00,2.9981723,4.6320167,101192.74,286.62347,0.09032422
2015-01-03 19:00:00+00:00,2.5792754,3.7754924,101223.93,287.33206,0.09030058
2015-01-03 20:00:00+00:00,2.4738464,3.1846817,101243.21,291.63025,0.09025855
2015-01-03 21:00:00+00:00,2.3026044,2.9250352,101280.51,292.7907,0.09022178
2015-01-03 22:00:00+00:00,2.1365178,2.7233765,101207.39,296.04413,0.09020864
2015-01-03 23:00:00+00:00,1.9265424,2.3585148,101189.586,297.01407,0.09020601
2015-01-04 00:00:00+00:00,2.0272734,2.1856668,101170.94,297.51715,0.09020601
2015-01-04 01:00:00+00:00,2.836452,2.9046683,101161.45,297.89304,0.090213895
2015-01-04 02:00:00+00:00,3.7301228,4.083455,101132.8,298.63962,0.09021915
2015-01-04 03:00:00+00:00,4.2914057,5.0444574,101087.805,298.6851,0.09021915
2015-01-04 04:00:00+00:00,4.7023907,5.800902,101040.08,298.73288,0.09021652
2015-01-04 05:00:00+00:00,5.0610085,6.4926233,100976.33,297.6369,0.09021652
2015-01-04 06:00:00+00:00,5.317984,7.2088695,100976.75,297.33182,0.09021915
2015-01-04 07:00:00+00:00,5.387202,8.121808,100944.62,296.8028,0.09022178
2015-01-04 08:00:00+00:00,5.5131745,9.218118,100950.94,294.47153,0.0902244
2015-01-04 09:00:00+00:00,5.608429,9.739083,100905.42,294.24072,0.09022966
2015-01-04 10:00:00+00:00,5.673458,10.078869,100882.875,292.8126,0.090234905
2015-01-04 11:00:00+00:00,5.1057982,9.438871,100810.28,293.07507,0.09023228
2015-01-04 12:00:00+00:00,4.3136287,8.344297,100777.09,293.1764,0.09022178
2015-01-04 13:00:00+00:00,3.6892357,7.407791,100699.016,292.95535,0.090213895
2015-01-04 14:00:00+00:00,3.5044975,7.0648675,100654.766,291.73904,0.09021127
2015-01-04 15:00:00+00:00,3.3835135,6.7702327,100620.1,291.09665,0.09021127
